609853329|600952423;606201131;606199136;605738147;536713575;462474342;510292534;603486238;605743768;477006026
479838209|478654073;530562874;528995188;521108641;529824484;499452699;499452652;508687390;529006978;521108956
494616578|532968824;544459294;520180131;529001369;26734903;161501389;381625650;428558665;429760838;430867308
524877827|477005344;450989269;535203223;531863688;543813903;532969530;611926243;494449685;523512193;532968209
505036804|497112424;494822508;505036860;528997096;543638145;484862323;536148744;543645078;543641617;528999681
603395414|537710207;543539088;533843765;534629837;544152579;603690779;601360535;533841714;210294359;215652821
494223367|540959733;535757447;535320332;537060729;600441901;486538617;537145423;487446514;521530169;538817182
494616585|538912114;498019982;502952674;600952408;605738111;280050971;287387417;306742039;340331053;379766076
506167307|446060798;478654398;463425712;454301056;498054803;523180195;395989965;527438055;505453995;459461686
534452968|543539935;543685394;537525174;543217754;515651391;537242997;543536480;544011811;544494776;540454223
482967566|484061793;483843621;520655931;495132363;475156412;530384277;496482067;61195101;280051071;280051842
602865679|602435177;464768130;477355119;511244282;521105195;521108966;526508807;529705795;529706062;529706664
510165008|523284186;495826376;603103033;523602673;495826394;494450564;523539991;470589690;538912656;506646931
541327377|602931784;537120557;535757463;540993940;535756943;541393867;492515647;541393899;537094811;540972228
508690450|535005457;527743141;534954987;534955062;536131240;539087418;532719660;534955075;605682607;509498669
527559342|537240877;607645422;512805238;535007413;536212615;515771978;496565330;442446467;544571286;443001607
431095832|536011785;502486438;534852527;167439986;536011811;175727599;448527806;224332036;274575872;295727333
483811332|543645072;543640707;504903348;517279676;495823190;543170362;504903338;519165306;517279650;543638128
542588955|538007976;533729504;603970419;532213848;534232330;536279227;539971272;542766446;603946357;538313349
505036829|484558088;529002702;521107823;517691257;489781839;26734903;161501389;192385349;239930650;304905805
534118432|536509252;505116804;503921559;525770555;501527936;522742080;435574939;512051780;525763599;280048344
606098779|544461995;518356248;494221865;607657826;606100405;510915835;606098753;512196104;516532582;603218100
510165029|605738191;484506944;533376779;510164150;601308835;523602673;531163274;605728768;605728797;605743764
537116711|531152944;461126996;485974050;501527938;544393740;531515031;499879951;531239102;359182215;372395803
530385236|529761677;497816160;519291710;533795991;517692404;518952404;520180750;520181064;497506992;532437468
534118443|482529409;523048055;484478981;528333527;608971495;608971496;539621723;532727385;539611526;523046482
539148332|459729212;542588082;539971318;536282350;530155228;606248587;541947827;528684852;543188776;536011374
505036845|519102099;540978514;529001399;517803574;519107975;543645078;543645087;505036627;543641617;460748009
488376957|488376562;498018955;333479899;433597663;434153229;451579512;458752384;467082550;471621280;472788180
531152944|537116711;536220613;530895372;501527938;377526370;501198097;461126996;485974050;537235406;544393740
542588977|543367651;535070246;527462358;539687507;540478004;540572007;280047161;280050341;280050558;313220608
536150067|532693428;601061358;536142795;503296689;610849372;539603483;539621723;482529409;536153452;509337711
541392948|541393890;528995175;523181954;519098935;536510006;512416816;536239688;520655308;541344109;515705471
542588981|535844342;603983801;603970419;603824815;603946357;544627815;605404632;538313349;541361269;605682611
505036855|494224651;517278911;543640708;494223608;543642748;543638145;494222344;517279680;505036607;528999681
533102648|533110098;530219173;523105116;533106167;537136899;535079957;536836351;606042877;530857485;533110072
513228857|519780469;542559656;514348655;517848676;505292516;480080676;529764468;505267797;507770645;518962088
534118459|280048344;304905805;340331053;374714343;407272928;421459776;429804606;429804902;433000313;443165503
505036860|543641613;528998170;517803574;505036804;505427635;497112424;529001400;543638731;517277899;492895743
476717066|218767164;440501870;448528714;456941873;457510455;469692182;470738076;483289970;483997045;489298112
543536480|538873128;539471379;543533941;538873135;538872956;544393741;493870445;539407461;543858903;534452968
604667190|522424980;522425020;487282081;522425000;532201073;538899543;494221212;531864220;540989953;606462831
536150084|503564150;457685653;532823345;539603483;528337261;609396842;611926243;483213436;528334325;528333527
434569285|532782816;532891800;540971153;494456078;313220608;488762467;532968209;534931033;536509237;523048055
467107910|600220343;515651634;530893213;481044801;516490610;504976586;467183839;541090304;600232816;522190939
534118471|519445251;519443666;534286853;601300840;519442604;508046210;540967489;601304857;476373524;601304135
534118472|484490705;541259864;539022261;534117730;410247992;455915093;534119757;534835698;534291677;536713510
600440907|537484840;543998943;519446846;544137423;538913204;524138596;521607838;497749223;483541518;513308486
600440908|604357156;600441937;494221699;487416625;519292350;492268179;537486573;504957964;530892126;481044800
534118477|537651712;514207312;539118943;600443040;544489186;280047161;280050341;280050558;313220608;319542389
537501210|544012467;466494583;535770062;539088757;529273283;508649867;535769997;517499757;533796359;535006127
477003855|270538245;344232369;358291986;379766076;397649076;400082644;431262537;432690783;432708482;434828858
472656273|476773367;602479391;605728790;605738172;505854447;517695034;400082644;462474933;605728762;421459776
601127019|534632338;497966353;212494506;425221546;432559640;432559658;435973729;443098319;445907371;450862878
434569303|459530385;512308437;488762467;280050341;472580890;532975099;536509268;532974620;484479837;471153672
507773017|535970626;512472749;517888427;495823407;526408031;507770655;374700988;374714552;374852680;374852681
522190939|455264539;515651634;432690742;467107910;481044801;530894496;522188896;538253835;518962179;504902097
522190940|541092609;536507801;511456887;508478584;601578907;543165744;511672559;534118471;471153673;529823975
522190941|601108504;496938040;507770655;517582803;374700988;374714552;374852680;374852681;374859343;374859344
440259941|532200843;487481263;519348351;540455690;537412462;535316655;323461431;1150561;161807365;168383707
540456914|504365721;507982101;513308486;540457289;536847782;536214704;531862900;527021175;536214239;537586790
541327376|535756943;510232800;535756980;533796358;541393899;528985483;532722113;536711445;609863935;494223240
444629090|541092262;434153229;444874992;445552078;463734561;464387601;476295707;476296038;476571797;477493887
522373820|601302600;521107870;518956860;512915233;489912161;535757837;518963831;505728940;505574611;534419939
600440938|527325986;511315672;527502743;540950070;537243013;537243025;537971600;539021513;530897329;544626444
535756907|515705467;535493511;535757478;488762438;519104289;482290174;519106143;537586330;537093892;502399911
507641964|602208067;534287275;534735870;605039662;540950081;474488167;521108647;247236832;251656680;280047161
535756910|532682463;536239633;535757764;519210801;541393880;527502743;541344109;536510006;536514035;537238192
522190960|602437124;519102752;605043024;541508473;504224086;600781856;504976586;533795987;600214030;533796358
530563185|530612076;601306253;522742085;519446881;530611538;601304150;532437468;495826394;527438037;531315786
524173429|479271992;524173071;504471917;503963717;524178156;420290501;438683246;452282159;457640437;457641806
602636406|494225701;602636437;539119669;603425947;530563223;462332143;490861273;602636489;539125510;516566355
528990328|529001951;535801091;518660715;529002702;506544808;460669748;521108641;499452699;602437181;479838209
540016761|603981308;483844746;530897291;449513670;475104263;482045677;504902834;504976553;530897345;533164412
530563194|602437193;540955521;540965414;538668588;530384118;601065316;602437122;601063960;530613800;542090042
510181499|323461431;1150561;161807365;168383707;292943374;295727333;307384075;315456573;329917442;330092497
525140092|527053830;534836189;603029819;519349599;448326502;500466331;503909684;85316653;429775052;434105129
538924394|540676118;527323154;536011787;527597931;525044788;603395409;601123787;601063957;535008758;536013343
535756927|527843692;532715454;608440673;541393877;541393893;533796345;609863935;533796384;532694853;539022302
538925514|537136836;543859626;601311019;604065358;537802393;543533944;601314858;531238765;540759984;488114320
280051842|476538067;447785759;505929622;61195101;280051071;313231846;374700988;374714552;374852680;374852681
602921384|499003196;537011596;538922871;535009131;537255993;534852289;1150561;161807365;168383707;212494506
483213444|525763599;354979912;486123615;512051780;505887632;506166920;510919080;531586139;603454649;540983450
602128517|542918910;543644546;602208004;601610829;539022279;542915532;605043016;539119204;543641599;543644552
600440970|530894587;539630762;467183838;487719477;472581458;472722235;541090304;544629041;541947982;606693060
535756939|507772637;535756943;523230846;532727394;515705477;537359247;541393890;541391429;610654853;601302466
486599362|530612017;18522370;180469295;270538245;313231846;344232369;349585737;358291986;384209272;395989965
540983439|529760627;532201154;516586709;459048974;463928079;540991187;36670161;313125870;313231846;333479899
519279172|533140943;533251726;505372577;510923327;505292516;494217424;514348655;518956860;508478948;494222341
505036824|482547667;528999681;492673471;517279652;494222344;517279680;529002562;529003388;607368821;536148744
540983444|501870794;505116118;539021511;523047201;463426564;505116982;505116788;539273440;478650607;453193898
602636437|602636406;494225701;603425947;490861273;530563223;539119669;602636489;544316282;462332143;514349464
530563223|603425947;494225701;602636437;539119669;602636406;602636489;462332143;490861273;508312217;514349464
511606936|537138127;543638145;519099918;505037103;529000292;537127322;519107118;519106104;466032439;469724609
600440985|601308915;527503381;513832024;531864744;531863783;519445264;532782559;534737037;461567286;461567332
540983450|497387546;522742161;443165503;536836351;603454649;506168644;522187372;540974998;484506735;605986628
536608923|539971063;544627190;536280023;539970932;536284726;539971233;535073881;491354861;600332450;536610666
511606940|604355234;247207905;379766076;415413402;431262537;432708482;434828858;434888919;435736044;436950114
462913695|540991187;36670161;313125870;313231846;333479899;338994039;349585737;367024095;384209272;395989965
540983457|480486093;527626599;540988999;521607341;521607397;485301433;505575363;527626560;453574414;459589843
601964706|543769392;534341471;544393740;544393734;363529646;436185024;448528714;452303338;456819690;456889415
600440995|543998945;537487287;541514497;465686289;537447313;520298737;489011690;358656397;410247992;451219055
457424100|518054507;451219055;468326068;518063461;518077042;503040802;607014399;518946310;295727333;315456573
521289895|527787911;475664025;527559290;536242616;545171952;505373175;536239518;536239634;530088887;505368394
601260201|601065512;602104100;606100482;602104064;544077524;601065093;609663124;601065297;541754042;534764421
544139975|602970749;513830434;501297122;6731526;17659082;247210662;247238591;297320894;313253050;367720622
528335021|483380124;541091391;539611526;536145766;528336662;482529285;532740958;537447313;539022857;528335484
531513519|540458812;512702911;535254819;603940528;604597055;544694413;458874096;535535016;488418670;522109676
531513521|537803916;484101223;495730991;537708984;538680491;538872955;543533941;538872956;534455371;544393741
602128562|485012187;517847563;539611526;532818369;496744879;532727385;537447313;528335021;483380124;509337711
517161139|517161147;538256230;480082986;531863724;516288550;471455781;537238185;529823876;247236832;251656680
602128564|533718811;494456123;529457363;605728729;523603198;605738167;270538245;280048344;280050971;287387417
531513526|533064936;602105283;541737421;533729062;544328048;605151881;538008017;538310171;601299206;534227336
517161143|247207905;379766076;415413402;431262537;432708482;434828858;434888919;435736044;436950114;437753295
602805726|539377302;604410803;544999623;600332410;536736130;498468540;535009163;601127815;535028088;603946331
543389044|538008034;521963283;537802415;607408933;486450343;493914451;508560904;518733127;522402054;531511094
601260219|540016334;523680221;537558229;541060239;528204934;497749223;519441610;538912833;531586385;541060232
543752381|527502197;437546303;451579512;471621280;472788180;478913113;488376562;488376957;494568252;495979014
530355573|532736562;525643010;535204316;537971634;513254179;531945531;529003132;520866422;490937637;536239216
486302495|493734339;483768867;459494472;456819690;493681316;496587650;458859642;463922825;473612018;487476702
602128577|540988186;484058486;520299679;602422930;452449835;482988143;485890200;605743704;497322435;517692436
600342725|539086839;539088504;26734903;161501389;430867308;433509609;439374258;443165831;448528714;454206947
605040676|609588243;600232816;519098574;600214064;540978547;535320332;537965811;542569567;530892156;530894620
602636489|602636437;530563223;494225701;603425947;602636406;490861273;539119669;462332143;508312217;514349464
475611338|477494328;161807365;212494506;414813194;425221546;432559640;432559658;435973729;443098319;445907371
600342732|535006874;602966670;535009200;539087767;536012681;543520667;539150729;544024561;508585583;537256322
528687138|519184781;537111711;508428091;528997515;543858923;537108371;476067733;161807365;212494506;414813194
544139981|488528620;488528936;534291677;542570026;513830023;513308417;483213436;476806516;532782815;534736181
525107411|510232800;510285118;536514035;541393880;520655308;511315672;541344109;608440673;509459959;519098518
525107412|515705499;527920002;511243549;515705477;510285118;523189571;519779835;602930095;515705502;526408036
521289941|531586642;508478584;501528576;602933842;518962088;508681301;530894614;513832440;494219248;519441651
525762775|537485829;537486220;471836533;530894536;538014872;459010693;477903622;481044801;519164062;449513670
461603033|363529646;436185024;465746868;486123623;490858513;490858815;494222542;498526018;508299835;512051794
539855567|481064679;439302984;525029384;477883334;523181950;478654055;521103932;528996248;270538245;280048344
497500380|541947982;504902127;504976714;525771986;522142482;497387576;519099279;504958229;542917851;519001466
519001466|520181078;538260969;538262986;541947982;504902090;523230830;497500380;519099773;504902127;522325455
534118437|510161411;467183928;476774147;530890377;531315917;527744089;531315901;531315835;531863682;531864170
455270498|167990014;222156682;231198014;329906228;334346679;363143521;399922135;415889940;416943470;431357984
525762785|536092562;519443652;519445251;477883580;505368416;601300840;511455218;531586115;510533306;518418817
611926243|609570868;532823345;609396842;536150084;528334325;354955209;519779838;536148746;610849372;503564150
511672549|534737039;526411976;501528576;483212049;486123354;513832019;494217424;494222169;511975711;523907198
467484902|470379077;461027991;472926857;477452411;443098319;473527551;459591381;480214597;525095366;455947681
511672551|528997105;532973871;511673376;511974471;472230520;476198544;540984449;501528576;532974650;531585524
518822537|501527730;26734903;161501389;430867308;433509609;439374258;443165831;448528714;454206947;454615147
535246227|539406856;539971433;535072077;536279156;537561943;539684448;537257478;537686274;536773303;605772625
601260270|522375051;477354942;477355023;480624129;483910264;483910835;483910852;485700800;486293442;487282081
601260271|601144833;525769654;527522937;461836811;518419328;503221529;505371705;527224670;525767298;508560162
444874992|434153229;444629090;445552078;463734561;464387601;476295707;476296038;476571797;477493887;487140194
544497704|602100024;601126142;544497157;542110725;544628302;539685346;542111164;603328683;466494583;518419352
532742387|472683535;541340567;519098518;515649251;535756980;602931784;602933827;536515740;525107411;541337108
602101191|605097825;367457837;602097472;534629806;541903568;537686291;602097417;536279227;539971272;543685895
533774581|504957964;527597939;477354764;515651634;504922610;483843555;516483345;604175784;603981308;604063032
525107446|534119771;456383228;486543842;490075359;492653088;505835810;511548243;514203384;514348677;515648800
512195559|480262964;508784283;479994568;494217424;535970614;519780469;540961382;533252394;540946767;512661048
494223608|517278911;504902788;519097758;505427635;543642748;504903350;482547667;517278868;494226203;504903310
532742393|532740949;505728678;523183184;511717861;532775517;543166931;496937985;532730581;471840962;474239406
532742394|537234564;532732792;521288135;521287006;543164396;541091396;539123363;521291021;532750477;537243017
494223611|519286510;513830438;527225417;529000534;441766715;473014327;475042109;481157890;487741095;488693340
600802959|544012467;493763524;494321430;601021402;494438749;527245640;538014457;601061348;488483643;1150561
468369663|537708977;533163242;543367838;600251912;463950130;495730991;531184258;532149224;537256258;538872956
501527936|528999675;531586139;510919080;525763599;534118432;544673523;485975754;528995033;536509252;512051780
500632854|536958971;508784544;604764596;490251894;533143540;542920622;522188903;512051777;508682125;531862959
539123013|539119879;540961386;600441905;512051108;602208089;536241790;539119213;503005159;539122581;531863006
543998215|540976959;544142531;415889940;445341450;458732944;465115128;466491010;469274954;480831697;483691706
544628780|540478003;514259231;523865457;536964748;602289416;605772650;523869434;488483643;1150561;161807365
481460490|528991101;513832527;481455793;428848731;455282707;36670161;280050971;287387417;306742039;313125870
544393717|605820187;603029819;537011588;538923871;543859162;602865663;531239102;537136880;539026478;218767164
539885836|538872955;539971864;604191977;537412515;32348766;167990014;210294359;215652821;222156682;231198014
486293773|11826933;212494506;425221546;432559640;432559658;435973729;436256185;440482327;440482388;443098319
530614381|531162837;530613818;530611521;505117335;522127455;531163224;603104254;600949907;435772024;517695040
537359747|520182668;477422170;487512807;506545792;504192273;495134703;528008638;482988142;520178958;517693518
533729012|539407470;532369507;525772002;602100024;536372437;540478003;537561943;535769935;534852289;535770123
537222265|488307692;539610514;536239634;487027800;540068174;541117612;527597931;529753104;505060019;295727333
604406417|603460916;537136834;499872185;536012670;538008025;495460815;537802970;603946355;604406431;607408958
485425435|534955092;534955075;462222805;532719660;536133003;437524798;512634972;536183227;605682658;527743141
